Spectrum,Observed,Rel.,Acc.
C I,1155.805,301000000000.0,C+
C I,1155.993,708000000000.0,B
C I,1155.993,708000000000.0,B
C I,1156.186,404000000000.0,C+
C I,1156.186,404000000000.0,C+
C I,1156.384,402000000000.0,B
C I,1156.561,506000000000.0,B
C I,1156.76,2040000000.0,D
C I,1157.167,200000000000.0,C+
C I,1157.33,403000000000.0,C+
C I,1157.397,408000000000.0,C+
C I,1157.767,0.0,C+
C I,1157.771,509000000000.0,B+
C I,1157.909,10300000000000.0,B+
C I,1158.03,10900000000000.0,B+
C I,1158.03,10900000000000.0,B
C I,1158.108,10100000000000.0,B+
C I,1158.108,10100000000000.0,B+
C I,1158.332,503000000000.0,B
C I,1158.4,408000000000.0,C+
C I,1158.536,203000000000.0,C
C I,1158.536,203000000000.0,C+
C I,1158.698,506000000000.0,B
C I,1158.698,506000000000.0,C+
C I,1158.933,205000000000.0,C+
C I,1158.955,604000000000.0,C+
C I,1159.11,109000000000.0,C
C I,1160.505,201000000000.0,C
C I,1160.881,101000000000.0,C
Na II,1157.291,4000.0,
Si III,1155.96,60.0,C+
Si III,1158.1,70.0,B
Si III,1160.26,60.0,B
Si III,1161.58,80.0,B
S I,1156.0,8050.0,
S I,1156.26,7050.0,
S I,1157.403,1000.0,
S I,1161.34,9000.0,
S I,1161.34,9000.0,
S I,1161.57,7000.0,
S I,1161.72,7050.0,
S I,1161.97,0.0,
S III,1162.132,30.0,C+
S III,1162.494,60.0,C+
S III,1163.209,50.0,C+
Fe II,1155.849,10200000.0,
Fe III,1156.032,1080000000.0,
Fe III,1156.083,10200000.0,
Fe II,1156.478,40000000.0,
Fe II,1157.056,10500000.0,
Fe II,1157.63,80000000.0,E
Fe II,1157.678,60000000.0,E
Fe V,1157.692,409000.0,D
Fe II,1157.821,80000000.0,E
Fe II,1157.853,50000000.0,
Fe II,1158.115,40000000.0,D
Fe III,1158.173,70300000.0,
Fe III,1158.253,70300000.0,
Fe II,1158.275,60000000.0,
Fe V,1158.306,1000.0,
Fe V,1158.492,303000.0,
Fe II,1158.497,80000000.0,E
Fe III,1158.606,809000.0,
Fe II,1158.876,20000000.0,
Fe III,1159.019,2040000000.0,
Fe II,1159.086,10900000.0,
Fe II,1159.331,80000000.0,D+
Fe II,1159.421,10600000.0,
Fe II,1159.501,60000000.0,
Fe III,1159.586,2040000000.0,D
Fe II,1159.909,20000000.0,
Fe II,1159.986,70000000.0,E
Fe II,1160.087,10700000.0,
Fe II,1160.087,10700000.0,D
Fe V,1160.13,105000.0,D
Fe III,1160.255,10200000.0,
Fe II,1160.263,60000000.0,E
Fe II,1160.526,20000000.0,
Fe III,1161.163,808000.0,
Fe III,1161.516,1030000000.0,
Fe II,1161.552,700000.0,
Fe II,1161.552,700000.0,
Fe II,1161.81,10500000.0,
Fe III,1161.875,10600000.0,
Fe II,1161.996,10400000.0,
Fe II,1162.34,60000000.0,D
Fe II,1162.34,60000000.0,
Fe III,1162.592,20200000.0,
Fe II,1162.641,70000000.0,E
Fe II,1162.881,60000000.0,
Fe II,1162.881,60000000.0,D
Fe II,1163.164,60000000.0,D
Fe II,1163.305,70000000.0,
Fe II,1163.305,70000000.0,
Fe II,1163.491,10900000.0,D
Fe III,1163.592,20200000.0,
